"Name","data.data_fold_id","optimizer.lr","test_AP"
"models.SwinUnetLightning","7","0.000001",""
"models.SwinUnetLightning","7","0.00001","0.3702266812324524"
"models.SwinUnetLightning","6","0.000001","0.37712106108665466"
"models.SwinUnetLightning","6","0.00001","0.4617679715156555"
"models.SwinUnetLightning","5","0.000001","0.1514667570590973"
"models.SwinUnetLightning","5","0.00001","0.20486626029014587"
"models.SwinUnetLightning","4","0.000001","0.2760789096355438"
"models.SwinUnetLightning","4","0.00001","0.33275529742240906"
"models.SwinUnetLightning","3","0.000001","0.16448600590229034"
"models.SwinUnetLightning","3","0.00001","0.21586725115776065"
"models.SwinUnetLightning","2","0.000001","0.3723104000091553"
"models.SwinUnetLightning","2","0.00001","0.4623776972293854"
"models.SwinUnetLightning","1","0.000001","0.2546471059322357"
"models.SwinUnetLightning","1","0.00001","0.31060242652893066"
"models.SwinUnetLightning","0","0.000001","0.3401191532611847"
"models.SwinUnetLightning","0","0.00001","0.37153470516204834"